Source: Wittgenstein Centre for Demography and Global Human Capital (2018). Wittgenstein Centre Data Explorer Version 2.0
Available at: www.wittgensteincentre.org/dataexplorer 

""
"Population Size by Broad Age (000's)"
"De facto population in a country or region, classified by sex and by broad age groups. Available by level of educational attainment, in all scenarios, and at all geographical scales. Figures are presented in thousands. <br><br> Source for 1950 to 2015: <a href=""http://esa.un.org/wpp/documentation/WPP%202010%20publications.htm"">UN Population Division, World Population Prospects 2017</a>"
"Multiple Scenarios"
" "
"Scenario","Area","Year","Age","Sex","Population"
"SSP2","Solomon Islands",2100,"0--14","Female",81.6
"SSP2","Somalia",2015,"0--14","Female",3225.7
"SSP2","Somalia",2020,"0--14","Female",3657.1
"SSP2","Somalia",2030,"0--14","Female",4308.8
"SSP2","Somalia",2050,"0--14","Female",4771.1
"SSP2","Somalia",2100,"0--14","Female",3433.5
"SSP2","South Africa",2015,"0--14","Female",8046.6
"SSP2","South Africa",2020,"0--14","Female",8212.1
"SSP2","South Africa",2030,"0--14","Female",7964.4
"SSP2","South Africa",2050,"0--14","Female",7237.5
"SSP2","South Africa",2100,"0--14","Female",5096.4
"SSP2","South Sudan",2015,"0--14","Female",2468.2
"SSP2","South Sudan",2020,"0--14","Female",2773.8
"SSP2","South Sudan",2030,"0--14","Female",3369.9
"SSP2","South Sudan",2050,"0--14","Female",3895.4
"SSP2","South Sudan",2100,"0--14","Female",3612.7
"SSP2","Spain",2015,"0--14","Female",3354.7
"SSP2","Spain",2020,"0--14","Female",3234.1
"SSP2","Spain",2030,"0--14","Female",2787.8
"SSP2","Spain",2050,"0--14","Female",2981.7
"SSP2","Spain",2100,"0--14","Female",3034.2
"SSP2","Sri Lanka",2015,"0--14","Female",2526.4
"SSP2","Sri Lanka",2020,"0--14","Female",2415.8
"SSP2","Sri Lanka",2030,"0--14","Female",2138.9
"SSP2","Sri Lanka",2050,"0--14","Female",1849.3
"SSP2","Sri Lanka",2100,"0--14","Female",973.8
"SSP2","Sudan",2015,"0--14","Female",7891.3
"SSP2","Sudan",2020,"0--14","Female",8417.4
"SSP2","Sudan",2030,"0--14","Female",9112.9
"SSP2","Sudan",2050,"0--14","Female",9362.8
"SSP2","Sudan",2100,"0--14","Female",6538.5
"SSP2","Suriname",2015,"0--14","Female",71.9
"SSP2","Suriname",2020,"0--14","Female",70.2
"SSP2","Suriname",2030,"0--14","Female",64.3
"SSP2","Suriname",2050,"0--14","Female",51.1
"SSP2","Suriname",2100,"0--14","Female",22.4
"SSP2","Swaziland",2015,"0--14","Female",247.2
"SSP2","Swaziland",2020,"0--14","Female",258
"SSP2","Swaziland",2030,"0--14","Female",252.2
"SSP2","Swaziland",2050,"0--14","Female",226.2
"SSP2","Swaziland",2100,"0--14","Female",133.5
"SSP2","Sweden",2015,"0--14","Female",821.4
"SSP2","Sweden",2020,"0--14","Female",874.7
"SSP2","Sweden",2030,"0--14","Female",909.6
"SSP2","Sweden",2050,"0--14","Female",952.1
"SSP2","Sweden",2100,"0--14","Female",1076.9
"SSP2","Switzerland",2015,"0--14","Female",598.6
"SSP2","Switzerland",2020,"0--14","Female",634.3
"SSP2","Switzerland",2030,"0--14","Female",672.1
"SSP2","Switzerland",2050,"0--14","Female",678.1
"SSP2","Switzerland",2100,"0--14","Female",807.2
"SSP2","Syrian Arab Republic",2015,"0--14","Female",3480.2
"SSP2","Syrian Arab Republic",2020,"0--14","Female",3212
"SSP2","Syrian Arab Republic",2030,"0--14","Female",2875.7
"SSP2","Syrian Arab Republic",2050,"0--14","Female",2536.4
"SSP2","Syrian Arab Republic",2100,"0--14","Female",1161.1
"SSP2","Taiwan Province of China",2015,"0--14","Female",1546.6
"SSP2","Taiwan Province of China",2020,"0--14","Female",1427.3
"SSP2","Taiwan Province of China",2030,"0--14","Female",1340.7
"SSP2","Taiwan Province of China",2050,"0--14","Female",1004
"SSP2","Taiwan Province of China",2100,"0--14","Female",694.6
"SSP2","Tajikistan",2015,"0--14","Female",1461.3
"SSP2","Tajikistan",2020,"0--14","Female",1586.6
"SSP2","Tajikistan",2030,"0--14","Female",1527.8
"SSP2","Tajikistan",2050,"0--14","Female",1381.5
"SSP2","Tajikistan",2100,"0--14","Female",784.5
"SSP2","Thailand",2015,"0--14","Female",6003.9
"SSP2","Thailand",2020,"0--14","Female",5617.8
"SSP2","Thailand",2030,"0--14","Female",4966.2
"SSP2","Thailand",2050,"0--14","Female",3932.1
"SSP2","Thailand",2100,"0--14","Female",3013.8
"SSP2","The former Yugoslav Republic of Macedonia",2015,"0--14","Female",170.4
"SSP2","The former Yugoslav Republic of Macedonia",2020,"0--14","Female",164.1
"SSP2","The former Yugoslav Republic of Macedonia",2030,"0--14","Female",149.2
"SSP2","The former Yugoslav Republic of Macedonia",2050,"0--14","Female",109.7
"SSP2","The former Yugoslav Republic of Macedonia",2100,"0--14","Female",67.1
"SSP2","Timor-Leste",2015,"0--14","Female",267.6
"SSP2","Timor-Leste",2020,"0--14","Female",296.4
"SSP2","Timor-Leste",2030,"0--14","Female",354.5
"SSP2","Timor-Leste",2050,"0--14","Female",389.7
"SSP2","Timor-Leste",2100,"0--14","Female",243.4
"SSP2","Togo",2015,"0--14","Female",1554.4
"SSP2","Togo",2020,"0--14","Female",1650.9
"SSP2","Togo",2030,"0--14","Female",1662.6
"SSP2","Togo",2050,"0--14","Female",1577.3
"SSP2","Togo",2100,"0--14","Female",1105.8
"SSP2","Tonga",2015,"0--14","Female",18.9
"SSP2","Tonga",2020,"0--14","Female",17.7
"SSP2","Tonga",2030,"0--14","Female",14.6
"SSP2","Tonga",2050,"0--14","Female",11.3
"SSP2","Tonga",2100,"0--14","Female",2.4
"SSP2","Trinidad and Tobago",2015,"0--14","Female",139.3
"SSP2","Trinidad and Tobago",2020,"0--14","Female",133.6
"SSP2","Trinidad and Tobago",2030,"0--14","Female",103.1
"SSP2","Trinidad and Tobago",2050,"0--14","Female",71.3
"SSP2","Trinidad and Tobago",2100,"0--14","Female",28.6
"SSP2","Tunisia",2015,"0--14","Female",1304.7
"SSP2","Tunisia",2020,"0--14","Female",1378.9
"SSP2","Tunisia",2030,"0--14","Female",1231.3
"SSP2","Tunisia",2050,"0--14","Female",972.5
"SSP2","Tunisia",2100,"0--14","Female",618.3
"SSP2","Turkey",2015,"0--14","Female",9799.3
"SSP2","Turkey",2020,"0--14","Female",9584.9
"SSP2","Turkey",2030,"0--14","Female",8794.7
"SSP2","Turkey",2050,"0--14","Female",7433.1
"SSP2","Turkey",2100,"0--14","Female",5169.5
"SSP2","Turkmenistan",2015,"0--14","Female",836
"SSP2","Turkmenistan",2020,"0--14","Female",925
"SSP2","Turkmenistan",2030,"0--14","Female",897.7
"SSP2","Turkmenistan",2050,"0--14","Female",760.9
"SSP2","Turkmenistan",2100,"0--14","Female",463.2
"SSP2","Uganda",2015,"0--14","Female",9602.6
"SSP2","Uganda",2020,"0--14","Female",10982
"SSP2","Uganda",2030,"0--14","Female",13751.9
"SSP2","Uganda",2050,"0--14","Female",17887
"SSP2","Uganda",2100,"0--14","Female",15619.2
"SSP2","Ukraine",2015,"0--14","Female",3263.3
"SSP2","Ukraine",2020,"0--14","Female",3389.5
"SSP2","Ukraine",2030,"0--14","Female",2899
"SSP2","Ukraine",2050,"0--14","Female",2579.5
"SSP2","Ukraine",2100,"0--14","Female",2185.2
"SSP2","United Arab Emirates",2015,"0--14","Female",618.3
"SSP2","United Arab Emirates",2020,"0--14","Female",660.1
"SSP2","United Arab Emirates",2030,"0--14","Female",563.4
"SSP2","United Arab Emirates",2050,"0--14","Female",580.9
"SSP2","United Arab Emirates",2100,"0--14","Female",610
"SSP2","United Kingdom of Great Britain and Northern Ireland",2015,"0--14","Female",5614.5
"SSP2","United Kingdom of Great Britain and Northern Ireland",2020,"0--14","Female",5937
"SSP2","United Kingdom of Great Britain and Northern Ireland",2030,"0--14","Female",5954.7
"SSP2","United Kingdom of Great Britain and Northern Ireland",2050,"0--14","Female",5978.6
"SSP2","United Kingdom of Great Britain and Northern Ireland",2100,"0--14","Female",5959.6
"SSP2","United Republic of Tanzania",2015,"0--14","Female",12111.9
"SSP2","United Republic of Tanzania",2020,"0--14","Female",13563.3
"SSP2","United Republic of Tanzania",2030,"0--14","Female",15590
"SSP2","United Republic of Tanzania",2050,"0--14","Female",17643.8
"SSP2","United Republic of Tanzania",2100,"0--14","Female",14284.4
"SSP2","United States of America",2015,"0--14","Female",30044.7
"SSP2","United States of America",2020,"0--14","Female",30409.3
"SSP2","United States of America",2030,"0--14","Female",31662.1
"SSP2","United States of America",2050,"0--14","Female",32431.9
"SSP2","United States of America",2100,"0--14","Female",34955.1
"SSP2","United States Virgin Islands",2015,"0--14","Female",10.5
"SSP2","United States Virgin Islands",2020,"0--14","Female",10.2
"SSP2","United States Virgin Islands",2030,"0--14","Female",9
"SSP2","United States Virgin Islands",2050,"0--14","Female",7.7
"SSP2","United States Virgin Islands",2100,"0--14","Female",6.3
"SSP2","Uruguay",2015,"0--14","Female",359.5
"SSP2","Uruguay",2020,"0--14","Female",346.7
"SSP2","Uruguay",2030,"0--14","Female",307.1
"SSP2","Uruguay",2050,"0--14","Female",230.2
"SSP2","Uruguay",2100,"0--14","Female",122.3
"SSP2","Uzbekistan",2015,"0--14","Female",4222.1
"SSP2","Uzbekistan",2020,"0--14","Female",4471.6
"SSP2","Uzbekistan",2030,"0--14","Female",4186.7
"SSP2","Uzbekistan",2050,"0--14","Female",3710.9
"SSP2","Uzbekistan",2100,"0--14","Female",2256.2
"SSP2","Vanuatu",2015,"0--14","Female",46.3
"SSP2","Vanuatu",2020,"0--14","Female",48.5
"SSP2","Vanuatu",2030,"0--14","Female",46.8
"SSP2","Vanuatu",2050,"0--14","Female",45.2
"SSP2","Vanuatu",2100,"0--14","Female",28.4
"SSP2","Venezuela (Bolivarian Republic of)",2015,"0--14","Female",4298.1
"SSP2","Venezuela (Bolivarian Republic of)",2020,"0--14","Female",4311.3
"SSP2","Venezuela (Bolivarian Republic of)",2030,"0--14","Female",4153.6
"SSP2","Venezuela (Bolivarian Republic of)",2050,"0--14","Female",3619.6
"SSP2","Venezuela (Bolivarian Republic of)",2100,"0--14","Female",2339.5
"SSP2","Viet Nam",2015,"0--14","Female",10332.5
"SSP2","Viet Nam",2020,"0--14","Female",10543.2
"SSP2","Viet Nam",2030,"0--14","Female",9570.5
"SSP2","Viet Nam",2050,"0--14","Female",7132.5
"SSP2","Viet Nam",2100,"0--14","Female",3943.5
"SSP2","Western Sahara",2015,"0--14","Female",74.3
"SSP2","Western Sahara",2020,"0--14","Female",79.7
"SSP2","Western Sahara",2030,"0--14","Female",84.5
"SSP2","Western Sahara",2050,"0--14","Female",90.4
"SSP2","Western Sahara",2100,"0--14","Female",95.4
"SSP2","World",2015,"0--14","Female",932391.2
"SSP2","World",2020,"0--14","Female",951832.4
"SSP2","World",2030,"0--14","Female",936555.6
"SSP2","World",2050,"0--14","Female",882436.9
"SSP2","World",2100,"0--14","Female",633343
"SSP2","Yemen",2015,"0--14","Female",5346.6
"SSP2","Yemen",2020,"0--14","Female",5857.5
"SSP2","Yemen",2030,"0--14","Female",6719.1
"SSP2","Yemen",2050,"0--14","Female",7295
"SSP2","Yemen",2100,"0--14","Female",5462.3
"SSP2","Zambia",2015,"0--14","Female",3627.3
"SSP2","Zambia",2020,"0--14","Female",4098.4
"SSP2","Zambia",2030,"0--14","Female",4990.5
"SSP2","Zambia",2050,"0--14","Female",6020.1
"SSP2","Zambia",2100,"0--14","Female",4847.6
"SSP2","Zimbabwe",2015,"0--14","Female",3259.8
"SSP2","Zimbabwe",2020,"0--14","Female",3509.4
"SSP2","Zimbabwe",2030,"0--14","Female",3417.8
"SSP2","Zimbabwe",2050,"0--14","Female",3016.5
"SSP2","Zimbabwe",2100,"0--14","Female",1787.4
"SSP2","Afghanistan",2015,"15+","Female",9032
"SSP2","Afghanistan",2020,"15+","Female",10812.1
"SSP2","Afghanistan",2030,"15+","Female",14525.8
"SSP2","Afghanistan",2050,"15+","Female",24845.5
"SSP2","Afghanistan",2100,"15+","Female",43509.4
"SSP2","Albania",2015,"15+","Female",1193.9
"SSP2","Albania",2020,"15+","Female",1197.3
"SSP2","Albania",2030,"15+","Female",1153.9
"SSP2","Albania",2050,"15+","Female",977.7
"SSP2","Albania",2100,"15+","Female",403.8
"SSP2","Algeria",2015,"15+","Female",14140
"SSP2","Algeria",2020,"15+","Female",15094.6
"SSP2","Algeria",2030,"15+","Female",18058.4
"SSP2","Algeria",2050,"15+","Female",21883.1
"SSP2","Algeria",2100,"15+","Female",22036.1
"SSP2","Angola",2015,"15+","Female",7614.2
"SSP2","Angola",2020,"15+","Female",9137.8
"SSP2","Angola",2030,"15+","Female",13060.1
"SSP2","Angola",2050,"15+","Female",21459.1
"SSP2","Angola",2100,"15+","Female",32924.7
"SSP2","Antigua and Barbuda",2015,"15+","Female",39.8
"SSP2","Antigua and Barbuda",2020,"15+","Female",41.9
"SSP2","Antigua and Barbuda",2030,"15+","Female",45.3
"SSP2","Antigua and Barbuda",2050,"15+","Female",48
"SSP2","Antigua and Barbuda",2100,"15+","Female",41.2
"SSP2","Argentina",2015,"15+","Female",16793.6
"SSP2","Argentina",2020,"15+","Female",17813.4
"SSP2","Argentina",2030,"15+","Female",19876.5
"SSP2","Argentina",2050,"15+","Female",23217.8
"SSP2","Argentina",2100,"15+","Female",25483.9
"SSP2","Armenia",2015,"15+","Female",1276.6
"SSP2","Armenia",2020,"15+","Female",1258.6
"SSP2","Armenia",2030,"15+","Female",1245.9
"SSP2","Armenia",2050,"15+","Female",1129.8
"SSP2","Armenia",2100,"15+","Female",788.4
"SSP2","Aruba",2015,"15+","Female",45.2
"SSP2","Aruba",2020,"15+","Female",46.8
"SSP2","Aruba",2030,"15+","Female",48.9
"SSP2","Aruba",2050,"15+","Female",50
"SSP2","Aruba",2100,"15+","Female",52.4
"SSP2","Australia",2015,"15+","Female",9757.3
"SSP2","Australia",2020,"15+","Female",10288.3
"SSP2","Australia",2030,"15+","Female",11515
"SSP2","Australia",2050,"15+","Female",13850
"SSP2","Australia",2100,"15+","Female",18969.1
"SSP2","Austria",2015,"15+","Female",3833.7
"SSP2","Austria",2020,"15+","Female",3869.4
"SSP2","Austria",2030,"15+","Female",3965
"SSP2","Austria",2050,"15+","Female",4158.2
"SSP2","Austria",2100,"15+","Female",4583.3
"SSP2","Azerbaijan",2015,"15+","Female",3808.8
"SSP2","Azerbaijan",2020,"15+","Female",3943.6
"SSP2","Azerbaijan",2030,"15+","Female",4295.4
"SSP2","Azerbaijan",2050,"15+","Female",4487.5
"SSP2","Azerbaijan",2100,"15+","Female",3703.4
"SSP2","Bahamas",2015,"15+","Female",158.4
"SSP2","Bahamas",2020,"15+","Female",167.5
"SSP2","Bahamas",2030,"15+","Female",187.2
"SSP2","Bahamas",2050,"15+","Female",217.5
"SSP2","Bahamas",2100,"15+","Female",246.7
"SSP2","Bahrain",2015,"15+","Female",386
"SSP2","Bahrain",2020,"15+","Female",429.5
"SSP2","Bahrain",2030,"15+","Female",532.2
"SSP2","Bahrain",2050,"15+","Female",688.5
"SSP2","Bahrain",2100,"15+","Female",846.2
"SSP2","Bangladesh",2015,"15+","Female",56642.8
"SSP2","Bangladesh",2020,"15+","Female",62518.6
"SSP2","Bangladesh",2030,"15+","Female",72283.5
"SSP2","Bangladesh",2050,"15+","Female",85072.6
"SSP2","Bangladesh",2100,"15+","Female",73762.7
"SSP2","Barbados",2015,"15+","Female",121.2
"SSP2","Barbados",2020,"15+","Female",120.9
"SSP2","Barbados",2030,"15+","Female",120.6
"SSP2","Barbados",2050,"15+","Female",111.6
"SSP2","Barbados",2100,"15+","Female",85.1
"SSP2","Belarus",2015,"15+","Female",4329.1
"SSP2","Belarus",2020,"15+","Female",4243.9
"SSP2","Belarus",2030,"15+","Female",4212.7
"SSP2","Belarus",2050,"15+","Female",3979.3
"SSP2","Belarus",2100,"15+","Female",3621.7
"SSP2","Belgium",2015,"15+","Female",4800.8
"SSP2","Belgium",2020,"15+","Female",4870.9
"SSP2","Belgium",2030,"15+","Female",5076.7
"SSP2","Belgium",2050,"15+","Female",5442.1
"SSP2","Belgium",2100,"15+","Female",6322.9
"SSP2","Belize",2015,"15+","Female",122.6
"SSP2","Belize",2020,"15+","Female",137.7
"SSP2","Belize",2030,"15+","Female",165.4
"SSP2","Belize",2050,"15+","Female",214.7
"SSP2","Belize",2100,"15+","Female",247.1
"SSP2","Benin",2015,"15+","Female",3063.8
"SSP2","Benin",2020,"15+","Female",3565.2
"SSP2","Benin",2030,"15+","Female",4779.3
"SSP2","Benin",2050,"15+","Female",7365.2
"SSP2","Benin",2100,"15+","Female",10637
"SSP2","Bhutan",2015,"15+","Female",262.7
"SSP2","Bhutan",2020,"15+","Female",287.2
"SSP2","Bhutan",2030,"15+","Female",331.2
"SSP2","Bhutan",2050,"15+","Female",396.4
"SSP2","Bhutan",2100,"15+","Female",395.2
"SSP2","Bolivia (Plurinational State of)",2015,"15+","Female",3645.3
"SSP2","Bolivia (Plurinational State of)",2020,"15+","Female",4030.6
"SSP2","Bolivia (Plurinational State of)",2030,"15+","Female",4752.6
"SSP2","Bolivia (Plurinational State of)",2050,"15+","Female",5983.7
"SSP2","Bolivia (Plurinational State of)",2100,"15+","Female",6467.8
"SSP2","Bosnia and Herzegovina",2015,"15+","Female",1552.4
"SSP2","Bosnia and Herzegovina",2020,"15+","Female",1482.7
"SSP2","Bosnia and Herzegovina",2030,"15+","Female",1331.3
"SSP2","Bosnia and Herzegovina",2050,"15+","Female",986.5
"SSP2","Bosnia and Herzegovina",2100,"15+","Female",296.3
"SSP2","Botswana",2015,"15+","Female",769.4
"SSP2","Botswana",2020,"15+","Female",851.5
"SSP2","Botswana",2030,"15+","Female",1027.8
"SSP2","Botswana",2050,"15+","Female",1282.3
"SSP2","Botswana",2100,"15+","Female",1237.8
"SSP2","Brazil",2015,"15+","Female",81971.1
"SSP2","Brazil",2020,"15+","Female",87199.1
"SSP2","Brazil",2030,"15+","Female",95172.5
"SSP2","Brazil",2050,"15+","Female",102829.6
"SSP2","Brazil",2100,"15+","Female",82676
"SSP2","Brunei Darussalam",2015,"15+","Female",154.4
"SSP2","Brunei Darussalam",2020,"15+","Female",169.1
"SSP2","Brunei Darussalam",2030,"15+","Female",195.8
"SSP2","Brunei Darussalam",2050,"15+","Female",236.2
"SSP2","Brunei Darussalam",2100,"15+","Female",254.9
"SSP2","Bulgaria",2015,"15+","Female",3199.3
"SSP2","Bulgaria",2020,"15+","Female",3047.3
"SSP2","Bulgaria",2030,"15+","Female",2799.5
"SSP2","Bulgaria",2050,"15+","Female",2256.5
"SSP2","Bulgaria",2100,"15+","Female",1298.2
"SSP2","Burkina Faso",2015,"15+","Female",5039.6
"SSP2","Burkina Faso",2020,"15+","Female",5899.9
"SSP2","Burkina Faso",2030,"15+","Female",8032.1
"SSP2","Burkina Faso",2050,"15+","Female",13092.9
"SSP2","Burkina Faso",2100,"15+","Female",22075.5
"SSP2","Burundi",2015,"15+","Female",2901
"SSP2","Burundi",2020,"15+","Female",3317.6
"SSP2","Burundi",2030,"15+","Female",4474.7
"SSP2","Burundi",2050,"15+","Female",6433.8
"SSP2","Burundi",2100,"15+","Female",7251.9
"SSP2","Cambodia",2015,"15+","Female",5542.5
"SSP2","Cambodia",2020,"15+","Female",6063.1
"SSP2","Cambodia",2030,"15+","Female",7189.6
"SSP2","Cambodia",2050,"15+","Female",8900.9
"SSP2","Cambodia",2100,"15+","Female",9212.6
"SSP2","Cameroon",2015,"15+","Female",6540.8
"SSP2","Cameroon",2020,"15+","Female",7561.5
"SSP2","Cameroon",2030,"15+","Female",10074.5
"SSP2","Cameroon",2050,"15+","Female",14710.3
"SSP2","Cameroon",2100,"15+","Female",18670.7
"SSP2","Canada",2015,"15+","Female",15319
"SSP2","Canada",2020,"15+","Female",15851.8
"SSP2","Canada",2030,"15+","Female",17063.5
"SSP2","Canada",2050,"15+","Female",19208.6
"SSP2","Canada",2100,"15+","Female",24713.8
"SSP2","Cape Verde",2015,"15+","Female",185.2
"SSP2","Cape Verde",2020,"15+","Female",200.2
"SSP2","Cape Verde",2030,"15+","Female",227
"SSP2","Cape Verde",2050,"15+","Female",264.9
"SSP2","Cape Verde",2100,"15+","Female",222.5
"SSP2","Central African Republic",2015,"15+","Female",1306.2
"SSP2","Central African Republic",2020,"15+","Female",1494.4
"SSP2","Central African Republic",2030,"15+","Female",1903
"SSP2","Central African Republic",2050,"15+","Female",2615.3
"SSP2","Central African Republic",2100,"15+","Female",2855.8
"SSP2","Chad",2015,"15+","Female",3692.4
"SSP2","Chad",2020,"15+","Female",4404.3
"SSP2","Chad",2030,"15+","Female",6159.3
"SSP2","Chad",2050,"15+","Female",10293.1
"SSP2","Chad",2100,"15+","Female",16636
"SSP2","Channel Islands",2015,"15+","Female",70.8
"SSP2","Channel Islands",2020,"15+","Female",72.6
"SSP2","Channel Islands",2030,"15+","Female",76.4
"SSP2","Channel Islands",2050,"15+","Female",82.5
"SSP2","Channel Islands",2100,"15+","Female",99.2
"SSP2","Chile",2015,"15+","Female",7148.8
"SSP2","Chile",2020,"15+","Female",7494.7
"SSP2","Chile",2030,"15+","Female",8083.2
"SSP2","Chile",2050,"15+","Female",8673.9
"SSP2","Chile",2100,"15+","Female",7598.9
"SSP2","China",2015,"15+","Female",562883.7
"SSP2","China",2020,"15+","Female",575450.5
"SSP2","China",2030,"15+","Female",597573.3
"SSP2","China",2050,"15+","Female",564833.3
"SSP2","China",2100,"15+","Female",360369.7
"SSP2","Colombia",2015,"15+","Female",18752.9
"SSP2","Colombia",2020,"15+","Female",20041.1
"SSP2","Colombia",2030,"15+","Female",22097
"SSP2","Colombia",2050,"15+","Female",24428.8
"SSP2","Colombia",2100,"15+","Female",20682.5
"SSP2","Comoros",2015,"15+","Female",232.1
"SSP2","Comoros",2020,"15+","Female",265.5
"SSP2","Comoros",2030,"15+","Female",344.1
"SSP2","Comoros",2050,"15+","Female",490.1
"SSP2","Comoros",2100,"15+","Female",600.5
"SSP2","Congo",2015,"15+","Female",1443.8
"SSP2","Congo",2020,"15+","Female",1680.3
"SSP2","Congo",2030,"15+","Female",2285.5
"SSP2","Congo",2050,"15+","Female",3440
"SSP2","Congo",2100,"15+","Female",4745.4
"SSP2","Costa Rica",2015,"15+","Female",1878.2
"SSP2","Costa Rica",2020,"15+","Female",2014.2
"SSP2","Costa Rica",2030,"15+","Female",2263.1
"SSP2","Costa Rica",2050,"15+","Female",2588
"SSP2","Costa Rica",2100,"15+","Female",2443.4
"SSP2","Cote d'Ivoire",2015,"15+","Female",6461.1
"SSP2","Cote d'Ivoire",2020,"15+","Female",7514.9
"SSP2","Cote d'Ivoire",2030,"15+","Female",10003
"SSP2","Cote d'Ivoire",2050,"15+","Female",14859.9
"SSP2","Cote d'Ivoire",2100,"15+","Female",20119.3
"SSP2","Croatia",2015,"15+","Female",1889.7
"SSP2","Croatia",2020,"15+","Female",1840.1
"SSP2","Croatia",2030,"15+","Female",1764.9
"SSP2","Croatia",2050,"15+","Female",1599.9
"SSP2","Croatia",2100,"15+","Female",1333.6
"SSP2","Cuba",2015,"15+","Female",4820.7
"SSP2","Cuba",2020,"15+","Female",4840.5
"SSP2","Cuba",2030,"15+","Female",4805.6
"SSP2","Cuba",2050,"15+","Female",4292.4
"SSP2","Cuba",2100,"15+","Female",2164.2
"SSP2","Curaçao",2015,"15+","Female",71.2
"SSP2","Curaçao",2020,"15+","Female",72.2
"SSP2","Curaçao",2030,"15+","Female",73.1
"SSP2","Curaçao",2050,"15+","Female",71.1
"SSP2","Curaçao",2100,"15+","Female",71.1
"SSP2","Cyprus",2015,"15+","Female",484.6
"SSP2","Cyprus",2020,"15+","Female",502.7
"SSP2","Cyprus",2030,"15+","Female",540
"SSP2","Cyprus",2050,"15+","Female",605
"SSP2","Cyprus",2100,"15+","Female",644
"SSP2","Czech Republic",2015,"15+","Female",4611.7
"SSP2","Czech Republic",2020,"15+","Female",4576.6
"SSP2","Czech Republic",2030,"15+","Female",4589.6
"SSP2","Czech Republic",2050,"15+","Female",4374.6
"SSP2","Czech Republic",2100,"15+","Female",3945
"SSP2","Democratic People's Republic of Korea",2015,"15+","Female",10292.1
"SSP2","Democratic People's Republic of Korea",2020,"15+","Female",10678.9
"SSP2","Democratic People's Republic of Korea",2030,"15+","Female",11166.8
"SSP2","Democratic People's Republic of Korea",2050,"15+","Female",11209.1
"SSP2","Democratic People's Republic of Korea",2100,"15+","Female",8149.4
"SSP2","Democratic Republic of the Congo",2015,"15+","Female",20686.4
"SSP2","Democratic Republic of the Congo",2020,"15+","Female",24482.8
"SSP2","Democratic Republic of the Congo",2030,"15+","Female",34496.3
"SSP2","Democratic Republic of the Congo",2050,"15+","Female",57247.1
"SSP2","Democratic Republic of the Congo",2100,"15+","Female",90125.8
"SSP2","Denmark",2015,"15+","Female",2393.1
"SSP2","Denmark",2020,"15+","Female",2437.8
"SSP2","Denmark",2030,"15+","Female",2509.7
"SSP2","Denmark",2050,"15+","Female",2660
"SSP2","Denmark",2100,"15+","Female",3177.3
"SSP2","Djibouti",2015,"15+","Female",315.3
"SSP2","Djibouti",2020,"15+","Female",358.2
"SSP2","Djibouti",2030,"15+","Female",439.4
"SSP2","Djibouti",2050,"15+","Female",593.1
"SSP2","Djibouti",2100,"15+","Female",737.8
"SSP2","Dominican Republic",2015,"15+","Female",3734.2
"SSP2","Dominican Republic",2020,"15+","Female",4062.8
"SSP2","Dominican Republic",2030,"15+","Female",4678
"SSP2","Dominican Republic",2050,"15+","Female",5548.4
"SSP2","Dominican Republic",2100,"15+","Female",5380.8
"SSP2","Ecuador",2015,"15+","Female",5781.6
"SSP2","Ecuador",2020,"15+","Female",6336.5
"SSP2","Ecuador",2030,"15+","Female",7446.1
"SSP2","Ecuador",2050,"15+","Female",9205.8
"SSP2","Ecuador",2100,"15+","Female",10081
"SSP2","Egypt",2015,"15+","Female",31306.2
"SSP2","Egypt",2020,"15+","Female",34337.5
"SSP2","Egypt",2030,"15+","Female",42157
"SSP2","Egypt",2050,"15+","Female",55648.1
"SSP2","Egypt",2100,"15+","Female",68140.7
"SSP2","El Salvador",2015,"15+","Female",2468.9
"SSP2","El Salvador",2020,"15+","Female",2602.8
"SSP2","El Salvador",2030,"15+","Female",2789.2
"SSP2","El Salvador",2050,"15+","Female",2937.4
"SSP2","El Salvador",2100,"15+","Female",1989.2
"SSP2","Equatorial Guinea",2015,"15+","Female",310.1
"SSP2","Equatorial Guinea",2020,"15+","Female",356.3
"SSP2","Equatorial Guinea",2030,"15+","Female",480.8
"SSP2","Equatorial Guinea",2050,"15+","Female",742.2
"SSP2","Equatorial Guinea",2100,"15+","Female",1085.7
"SSP2","Eritrea",2015,"15+","Female",1414.3
"SSP2","Eritrea",2020,"15+","Female",1632.1
"SSP2","Eritrea",2030,"15+","Female",2153.5
"SSP2","Eritrea",2050,"15+","Female",3099.6
"SSP2","Eritrea",2100,"15+","Female",3929.7
"SSP2","Estonia",2015,"15+","Female",597
"SSP2","Estonia",2020,"15+","Female",586.9
"SSP2","Estonia",2030,"15+","Female",578.8
"SSP2","Estonia",2050,"15+","Female",553.3
"SSP2","Estonia",2100,"15+","Female",550.5
"SSP2","Ethiopia",2015,"15+","Female",29473
"SSP2","Ethiopia",2020,"15+","Female",34805.8
"SSP2","Ethiopia",2030,"15+","Female",45996
"SSP2","Ethiopia",2050,"15+","Female",69852.6
"SSP2","Ethiopia",2100,"15+","Female",86680.4
"SSP2","Fiji",2015,"15+","Female",314.3
"SSP2","Fiji",2020,"15+","Female",327.7
"SSP2","Fiji",2030,"15+","Female",354.6
"SSP2","Fiji",2050,"15+","Female",364.1
